epoch	phase	loss	v2	gviol	w1	w2	w3	w4	w5	w6	w7	w8	b
0	0	413952921	0	14	1000	0	0	0	0	0	0	0	-776
1	0	2986068838	0	8	1000	0	0	0	0	0	0	0	-1119
2	1	35000000	0	2	1000	0	0	0	0	0	0	0	-1285
3	1	35000000	0	2	1000	0	0	0	0	0	0	0	-1451
4	2	95000000	0	2	1000	0	0	0	0	0	0	0	-1617
5	2	95000000	0	2	1000	0	0	0	0	0	0	0	-1783
6	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-1949
7	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-2115
8	1	35000000	0	2	1000	0	0	0	0	0	0	0	-2281
9	1	35000000	0	2	1000	0	0	0	0	0	0	0	-2447
10	2	95000000	0	2	1000	0	0	0	0	0	0	0	-2613
11	2	95000000	0	2	1000	0	0	0	0	0	0	0	-2779
12	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-2945
13	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-3111
14	1	35000000	0	2	1000	0	0	0	0	0	0	0	-3277
15	1	35000000	0	2	1000	0	0	0	0	0	0	0	-3443
16	2	95000000	0	2	1000	0	0	0	0	0	0	0	-3609
17	2	95000000	0	2	1000	0	0	0	0	0	0	0	-3775
18	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-3941
19	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-4107
20	1	35000000	0	2	1000	0	0	0	0	0	0	0	-4273
21	1	35000000	0	2	1000	0	0	0	0	0	0	0	-4439
22	2	95000000	0	2	1000	0	0	0	0	0	0	0	-4605
23	2	95000000	0	2	1000	0	0	0	0	0	0	0	-4771
24	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-4937
25	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-5103
26	1	35000000	0	2	1000	0	0	0	0	0	0	0	-5269
27	1	35000000	0	2	1000	0	0	0	0	0	0	0	-5435
28	2	95000000	0	2	1000	0	0	0	0	0	0	0	-5601
29	2	95000000	0	2	1000	0	0	0	0	0	0	0	-5767
30	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-5933
31	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-6099
32	1	35000000	0	2	1000	0	0	0	0	0	0	0	-6265
33	1	35000000	0	2	1000	0	0	0	0	0	0	0	-6431
34	2	95000000	0	2	1000	0	0	0	0	0	0	0	-6597
35	2	95000000	0	2	1000	0	0	0	0	0	0	0	-6763
36	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-6929
37	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-7095
38	1	35000000	0	2	1000	0	0	0	0	0	0	0	-7261
39	1	35000000	0	2	1000	0	0	0	0	0	0	0	-7427
40	2	95000000	0	2	1000	0	0	0	0	0	0	0	-7593
41	2	95000000	0	2	1000	0	0	0	0	0	0	0	-7759
42	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-7925
43	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-8091
44	1	35000000	0	2	1000	0	0	0	0	0	0	0	-8257
45	1	35000000	0	2	1000	0	0	0	0	0	0	0	-8423
46	2	95000000	0	2	1000	0	0	0	0	0	0	0	-8589
47	2	95000000	0	2	1000	0	0	0	0	0	0	0	-8755
48	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-8921
49	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-9087
50	1	35000000	0	2	1000	0	0	0	0	0	0	0	-9253
51	1	35000000	0	2	1000	0	0	0	0	0	0	0	-9419
52	2	95000000	0	2	1000	0	0	0	0	0	0	0	-9585
53	2	95000000	0	2	1000	0	0	0	0	0	0	0	-9751
54	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-9917
55	0	3750000000	0	2	1000	0	0	0	0	0	0	0	-10083
56	1	35000000	0	2	1000	0	0	0	0	0	0	0	-10249
57	1	35000000	0	2	1000	0	0	0	0	0	0	0	-10415
58	2	95000000	0	2	1000	0	0	0	0	0	0	0	-10581
59	2	95000000	0	2	1000	0	0	0	0	0	0	0	-10747
