CAL	0	0	1	0	0
F	323	5	0	800	950	0	0	0	0	0	1	1	0	0
F	325	5	0	800	950	0	0	0	0	0	1	1	0	0
F	327	5	0	800	900	0	1	0	0	1	1	1	2	0
F	329	5	1	800	800	1	0	1	1	0	1	0	2	1
F	331	5	0	800	800	0	0	0	0	0	1	0	0	0
F	333	5	0	800	800	0	0	0	0	0	1	0	0	0
F	335	5	1	900	900	1	1	1	1	1	1	0	1	1
F	337	5	0	900	800	0	1	0	0	1	1	0	2	0
F	339	5	0	900	800	0	1	0	0	1	1	0	2	0
DONE	92
