id	depth	P	Cn	bind01
H5B-P-06-00	4	0	500	0
H5B-P-06-01	4	0	500	0
H5B-P-06-02	4	0	500	0
H5B-P-06-03	4	0	500	0
H5B-P-06-04	4	0	500	0
H5B-P-06-05	4	0	500	0
H5B-P-06-06	4	0	500	0
H5B-P-06-07	4	0	500	0
H5B-P-06-08	4	0	500	0
H5B-P-06-09	4	0	500	0
H5B-P-12-00	4	0	500	0
H5B-P-12-01	4	0	500	0
H5B-P-12-02	4	0	500	0
H5B-P-12-03	4	0	500	0
H5B-P-12-04	4	0	500	0
H5B-P-12-05	4	0	500	0
H5B-P-12-06	4	0	500	0
H5B-P-12-07	4	0	500	0
H5B-P-12-08	4	0	500	0
H5B-P-12-09	4	0	500	0
H5B-P-20-00	4	0	500	0
H5B-P-20-01	4	0	500	0
H5B-P-20-02	4	0	500	0
H5B-P-20-03	4	0	500	0
H5B-P-20-04	4	0	500	0
H5B-P-20-05	4	0	500	0
H5B-P-20-06	4	0	500	0
H5B-P-20-07	4	0	500	0
H5B-P-20-08	4	0	500	0
H5B-P-20-09	4	0	500	0
H5B-P-40-00	4	0	500	0
H5B-P-40-01	4	0	500	0
H5B-P-40-02	4	0	500	0
H5B-P-40-03	4	0	500	0
H5B-P-40-04	4	0	500	0
H5B-P-40-05	4	0	500	0
H5B-P-40-06	4	0	500	0
H5B-P-40-07	4	0	500	0
H5B-P-40-08	4	0	500	0
H5B-P-40-09	4	0	500	0
H5B-O-06-00	4	0	500	0
H5B-O-06-01	4	0	500	0
H5B-O-06-02	4	0	500	0
H5B-O-06-03	4	0	500	0
H5B-O-06-04	4	0	500	0
H5B-O-06-05	4	0	500	0
H5B-O-06-06	4	0	500	0
H5B-O-06-07	4	0	500	0
H5B-O-06-08	4	0	500	0
H5B-O-06-09	4	0	500	0
H5B-O-12-00	4	0	500	0
H5B-O-12-01	4	0	500	0
H5B-O-12-02	4	0	500	0
H5B-O-12-03	4	0	500	0
H5B-O-12-04	4	0	500	0
H5B-O-12-05	4	0	500	0
H5B-O-12-06	4	0	500	0
H5B-O-12-07	4	0	500	0
H5B-O-12-08	4	0	500	0
H5B-O-12-09	4	0	500	0
H5B-O-20-00	4	0	500	0
H5B-O-20-01	4	0	500	0
H5B-O-20-02	4	0	500	0
H5B-O-20-03	4	0	500	0
H5B-O-20-04	4	0	500	0
H5B-O-20-05	4	0	500	0
H5B-O-20-06	4	0	500	0
H5B-O-20-07	4	0	500	0
H5B-O-20-08	4	0	500	0
H5B-O-20-09	4	0	500	0
H5B-O-40-00	4	0	500	0
H5B-O-40-01	4	0	500	0
H5B-O-40-02	4	0	500	0
H5B-O-40-03	4	0	500	0
H5B-O-40-04	4	0	500	0
H5B-O-40-05	4	0	500	0
H5B-O-40-06	4	0	500	0
H5B-O-40-07	4	0	500	0
H5B-O-40-08	4	0	500	0
H5B-O-40-09	4	0	500	0
H5B-D-0-00	4	0	969	0
H5B-D-0-01	4	0	969	0
H5B-D-0-02	4	0	969	0
H5B-D-0-03	4	0	969	0
H5B-D-0-04	4	0	969	0
H5B-D-0-05	4	0	969	0
H5B-D-0-06	4	0	969	0
H5B-D-0-07	4	0	969	0
H5B-D-0-08	4	0	969	0
H5B-D-0-09	4	0	969	0
H5B-D-6-00	4	0	400	0
H5B-D-6-01	4	0	400	0
H5B-D-6-02	4	0	400	0
H5B-D-6-03	4	0	400	0
H5B-D-6-04	4	0	400	0
H5B-D-6-05	4	0	400	0
H5B-D-6-06	4	0	400	0
H5B-D-6-07	4	0	400	0
H5B-D-6-08	4	0	400	0
H5B-D-6-09	4	0	400	0
