59|de08bd6655a656dc8739ca1bdbf18a80a4778fdb50d5519eaf8dd97aab65883e|211
60|f12aa0474d7a21bceb4792c3819ac510d0ed9dd529e4a739279114f9487e17ad|234
61|bc7aa2ad92487e74b907d5f6e24077b5afbdc7c96670dd0a575e015ddc17300a|315
62|aa8e4af9a7a7f47f4874b989b43fc5348db2191c1ad3f9beb139c3751efbbfbf|97
63|94c0ad0fb3733ac8c435f3ce9fcf255336909f02f76aaa5d18d66e1c215bc9cd|82
64|5a5db2b1ef18548e828c4e5fc722ce598629bc71872cb829ced642e05af24834|382
65|7f6084e12c35e4af696cf38662c1cce9493835381c99bb77b197c930e1796ed8|202
66|f8f84c5605747f06b9abce1da52dbe804ae964163079a79a9e77d263246af169|114
67|c8a611d73aa73415e676dc86af485b494b05a9a016b26d7fc0cfbc797a4701af|246
68|3214893394f8fb74700177cf60f7192441a4905b20ece4f6a16f9af263bf9708|83
69|c983e8a80183bfda3fe5bababbe612e7dbc672f7ed93346e48fa9f7869aec6ee|676
70|c90dc92612bc8b755454bf1ca575377e75e4a60ffe5352597a5f9f86265cc141|101
71|461c696d069c7a1c7cd1a7009605af8d19a026f46efe3d5745478d7d524419d8|0
72|698e4a987fd64d8e32abd06c14fef2b6bcd0f886dea2b664fd73a4d329bd6d97|338
73|601a99bf6651e2092a23f0f49b98c0cbe208628e2b19afd7200cd4b181158ced|147
74|6db427c68d513071d05fddef7253790da7d3167f939a4bd492f1fd19d72e088c|345
75|8f4b7077001a018b9a9ae6fa671e341a0b480bffb3144424fe5b6d1befdb3652|119
76|2263b284b4a8105771c9299df6131acaf55df3b274bb3947416f8abac36df8e7|94
77|3042f944f7dde2b968c620a33e8895e334a48ee459d40cf1d6bf4d6460f9feba|602
78|dfe1489ac9e3012f2fb3100a2c795a3eabd44e308ea96da838580592d2f26c17|14
79|910edad0a4b41c5aea54c322d70b03539024dc7e3d0127372b60df8cbfc90874|128
80|d817e496c0db8ec0586fde6dc7bbfbc81ec16dbd3127a6d2d0bd040eaf81f030|216
81|d3dbdb8110edf0f69dc6a08589c47da220eb72954af5c19c312c12684e54384d|318
82|e152d48e5bdc360b23c31669c873b2353d4359ec9b44739d4066943a9145a1d3|46
83|ab53e658267142838b26273ef4d51bfd339dd82309d9726589b5ee3d668ee6e8|62
84|449dbf8f46f0635cb875365300fb0ed14d06e64b293da3b6e692e18d31c1904f|40
85|d2661d959f59691cda1473d88501d80ac796405fb30adb29c7425bac9c2992fb|666
86|aa8ba87834bd19c3b4bd2917603af8a1fa124b1fdfc2f4603127b6b322992c4f|43
87|c995867e226fd6bae241bc48aeb3f8b1894ab4c84840af357e47d293b3afb4bd|6
88|5ec6de1903008855217e609b01fb2b68f9f9022698bba7234792d7a61f1c72c7|437
89|673f686ccb56ed53bb8fd4d1c7ed6a67719a735e8f611f78aa94372a3355b14f|252
90|b451a5ea9726f71566965637bd051f98149454bf4183802ba17b22f14a36631f|70
91|4c541c100c775fa785c6c1ac66a4092ca0673522ea944654eaf623b16fc2107b|51
92|1418e7b2e525797020da7aedec1f80fbfed9a1034dc9bbdf814634543b2ffc32|56
93|6f8988afa91f9505c047a078d1ab9c95ce11e59a938606762ced5d861e0f771b|90
