ep	step	tier
L-001	0	4
L-001	1	4
L-001	2	4
L-001	3	4
L-001	4	4
L-001	5	4
L-001	6	4
L-001	7	4
L-001	8	4
L-001	9	4
L-001	10	4
L-001	11	4
L-001	12	4
L-001	13	4
L-001	14	4
L-001	15	4
L-001	16	4
L-001	17	4
L-001	18	4
L-001	19	4
L-001	20	4
L-001	21	4
L-001	22	4
L-001	23	4
L-001	24	4
L-001	25	4
L-001	26	4
L-001	27	4
L-001	28	4
L-001	29	4
L-001	30	4
L-001	31	4
L-001	32	4
L-001	33	4
L-001	34	4
L-001	35	4
L-001	36	4
L-001	37	4
L-001	38	4
L-001	39	4
L-001	40	4
L-001	41	4
L-001	42	4
L-001	43	4
L-001	44	4
L-001	45	4
L-001	46	4
L-001	47	4
L-001	48	4
L-001	49	4
L-001	50	4
L-001	51	4
L-001	52	4
L-001	53	4
L-001	54	4
L-001	55	4
L-001	56	4
L-001	57	4
L-001	58	4
L-001	59	4
L-001	60	4
L-001	61	4
L-001	62	4
L-001	63	4
L-001	64	1
L-001	65	1
L-001	66	1
L-001	67	1
L-001	68	1
L-001	69	1
L-002	0	4
L-002	1	4
L-002	2	4
L-002	3	4
L-002	4	4
L-002	5	4
L-002	6	4
L-002	7	4
L-002	8	4
L-002	9	4
L-002	10	4
L-002	11	4
L-002	12	4
L-002	13	4
L-002	14	4
L-002	15	4
L-002	16	4
L-002	17	4
L-002	18	4
L-002	19	4
L-002	20	4
L-002	21	4
L-002	22	4
L-002	23	4
L-002	24	4
L-002	25	4
L-002	26	4
L-002	27	4
L-002	28	4
L-002	29	4
L-002	30	4
L-002	31	4
L-002	32	4
L-002	33	4
L-002	34	4
L-002	35	4
L-002	36	4
L-002	37	4
L-002	38	4
L-002	39	4
L-002	40	4
L-002	41	4
L-002	42	4
L-002	43	4
L-002	44	4
L-002	45	4
L-002	46	4
L-002	47	4
L-002	48	4
L-002	49	4
L-002	50	4
L-002	51	4
L-002	52	4
L-002	53	4
L-002	54	4
L-002	55	4
L-002	56	4
L-002	57	4
L-002	58	4
L-002	59	4
L-002	60	4
L-002	61	4
L-002	62	4
L-002	63	4
L-002	64	1
L-002	65	1
L-002	66	1
L-002	67	1
L-002	68	1
L-002	69	1
L-003	0	4
L-003	1	4
L-003	2	4
L-003	3	4
L-003	4	4
L-003	5	4
L-003	6	4
L-003	7	4
L-003	8	4
L-003	9	4
L-003	10	4
L-003	11	4
L-003	12	4
L-003	13	4
L-003	14	4
L-003	15	4
L-003	16	4
L-003	17	4
L-003	18	4
L-003	19	4
L-003	20	4
L-003	21	4
L-003	22	4
L-003	23	4
L-003	24	4
L-003	25	4
L-003	26	4
L-003	27	4
L-003	28	4
L-003	29	4
L-003	30	4
L-003	31	4
L-003	32	4
L-003	33	4
L-003	34	4
L-003	35	4
L-003	36	4
L-003	37	4
L-003	38	4
L-003	39	4
L-003	40	4
L-003	41	4
L-003	42	4
L-003	43	4
L-003	44	4
L-003	45	4
L-003	46	4
L-003	47	4
L-003	48	4
L-003	49	4
L-003	50	4
L-003	51	4
L-003	52	4
L-003	53	4
L-003	54	4
L-003	55	4
L-003	56	4
L-003	57	4
L-003	58	4
L-003	59	4
L-003	60	4
L-003	61	4
L-003	62	4
L-003	63	4
L-003	64	1
L-003	65	1
L-003	66	1
L-003	67	1
L-003	68	1
L-003	69	1
L-004	0	4
L-004	1	4
L-004	2	4
L-004	3	4
L-004	4	4
L-004	5	4
L-004	6	4
L-004	7	4
L-004	8	4
L-004	9	4
L-004	10	4
L-004	11	4
L-004	12	4
L-004	13	4
L-004	14	4
L-004	15	4
L-004	16	4
L-004	17	4
L-004	18	4
L-004	19	4
L-004	20	4
L-004	21	4
L-004	22	4
L-004	23	4
L-004	24	4
L-004	25	4
L-004	26	4
L-004	27	4
L-004	28	4
L-004	29	4
L-004	30	4
L-004	31	4
L-004	32	4
L-004	33	4
L-004	34	4
L-004	35	4
L-004	36	4
L-004	37	4
L-004	38	4
L-004	39	4
L-004	40	4
L-004	41	4
L-004	42	4
L-004	43	4
L-004	44	4
L-004	45	4
L-004	46	4
L-004	47	4
L-004	48	4
L-004	49	4
L-004	50	4
L-004	51	4
L-004	52	4
L-004	53	4
L-004	54	4
L-004	55	4
L-004	56	4
L-004	57	4
L-004	58	4
L-004	59	4
L-004	60	4
L-004	61	4
L-004	62	4
L-004	63	4
L-004	64	1
L-004	65	1
L-004	66	1
L-004	67	1
L-004	68	1
L-004	69	1
L-005	0	4
L-005	1	4
L-005	2	4
L-005	3	4
L-005	4	4
L-005	5	4
L-005	6	4
L-005	7	4
L-005	8	4
L-005	9	4
L-005	10	4
L-005	11	4
L-005	12	4
L-005	13	4
L-005	14	4
L-005	15	4
L-005	16	4
L-005	17	4
L-005	18	4
L-005	19	4
L-005	20	4
L-005	21	4
L-005	22	4
L-005	23	4
L-005	24	4
L-005	25	4
L-005	26	4
L-005	27	4
L-005	28	4
L-005	29	4
L-005	30	4
L-005	31	4
L-005	32	4
L-005	33	4
L-005	34	4
L-005	35	4
L-005	36	4
L-005	37	4
L-005	38	4
L-005	39	4
L-005	40	4
L-005	41	4
L-005	42	4
L-005	43	4
L-005	44	4
L-005	45	4
L-005	46	4
L-005	47	4
L-005	48	4
L-005	49	4
L-005	50	4
L-005	51	4
L-005	52	4
L-005	53	4
L-005	54	4
L-005	55	4
L-005	56	4
L-005	57	4
L-005	58	4
L-005	59	4
L-005	60	4
L-005	61	4
L-005	62	4
L-005	63	4
L-005	64	1
L-005	65	1
L-005	66	1
L-005	67	1
L-005	68	1
L-005	69	1
L-006	0	4
L-006	1	4
L-006	2	4
L-006	3	4
L-006	4	4
L-006	5	4
L-006	6	4
L-006	7	4
L-006	8	4
L-006	9	4
L-006	10	4
L-006	11	4
L-006	12	4
L-006	13	4
L-006	14	4
L-006	15	4
L-006	16	4
L-006	17	4
L-006	18	4
L-006	19	4
L-006	20	4
L-006	21	4
L-006	22	4
L-006	23	4
L-006	24	4
L-006	25	4
L-006	26	4
L-006	27	4
L-006	28	4
L-006	29	4
L-006	30	4
L-006	31	4
L-006	32	4
L-006	33	4
L-006	34	4
L-006	35	4
L-006	36	4
L-006	37	4
L-006	38	4
L-006	39	4
L-006	40	4
L-006	41	4
L-006	42	4
L-006	43	4
L-006	44	4
L-006	45	4
L-006	46	4
L-006	47	4
L-006	48	4
L-006	49	4
L-006	50	4
L-006	51	4
L-006	52	4
L-006	53	4
L-006	54	4
L-006	55	4
L-006	56	4
L-006	57	4
L-006	58	4
L-006	59	4
L-006	60	4
L-006	61	4
L-006	62	4
L-006	63	4
L-006	64	1
L-006	65	1
L-006	66	1
L-006	67	1
L-006	68	1
L-006	69	1
L-007	0	4
L-007	1	4
L-007	2	4
L-007	3	4
L-007	4	4
L-007	5	4
L-007	6	4
L-007	7	4
L-007	8	4
L-007	9	4
L-007	10	4
L-007	11	4
L-007	12	4
L-007	13	4
L-007	14	4
L-007	15	4
L-007	16	4
L-007	17	4
L-007	18	4
L-007	19	4
L-007	20	4
L-007	21	4
L-007	22	4
L-007	23	4
L-007	24	4
L-007	25	4
L-007	26	4
L-007	27	4
L-007	28	4
L-007	29	4
L-007	30	4
L-007	31	4
L-007	32	4
L-007	33	4
L-007	34	4
L-007	35	4
L-007	36	4
L-007	37	4
L-007	38	4
L-007	39	4
L-007	40	4
L-007	41	4
L-007	42	4
L-007	43	4
L-007	44	4
L-007	45	4
L-007	46	4
L-007	47	4
L-007	48	4
L-007	49	4
L-007	50	4
L-007	51	4
L-007	52	4
L-007	53	4
L-007	54	4
L-007	55	4
L-007	56	4
L-007	57	4
L-007	58	4
L-007	59	4
L-007	60	4
L-007	61	4
L-007	62	4
L-007	63	4
L-007	64	1
L-007	65	1
L-007	66	1
L-007	67	1
L-007	68	1
L-007	69	1
L-008	0	4
L-008	1	4
L-008	2	4
L-008	3	4
L-008	4	4
L-008	5	4
L-008	6	4
L-008	7	4
L-008	8	4
L-008	9	4
L-008	10	4
L-008	11	4
L-008	12	4
L-008	13	4
L-008	14	4
L-008	15	4
L-008	16	4
L-008	17	4
L-008	18	4
L-008	19	4
L-008	20	4
L-008	21	4
L-008	22	4
L-008	23	4
L-008	24	4
L-008	25	4
L-008	26	4
L-008	27	4
L-008	28	4
L-008	29	4
L-008	30	4
L-008	31	4
L-008	32	4
L-008	33	4
L-008	34	4
L-008	35	4
L-008	36	4
L-008	37	4
L-008	38	4
L-008	39	4
L-008	40	4
L-008	41	4
L-008	42	4
L-008	43	4
L-008	44	4
L-008	45	4
L-008	46	4
L-008	47	4
L-008	48	4
L-008	49	4
L-008	50	4
L-008	51	4
L-008	52	4
L-008	53	4
L-008	54	4
L-008	55	4
L-008	56	4
L-008	57	4
L-008	58	4
L-008	59	4
L-008	60	4
L-008	61	4
L-008	62	4
L-008	63	4
L-008	64	1
L-008	65	1
L-008	66	1
L-008	67	1
L-008	68	1
L-008	69	1
L-009	0	4
L-009	1	4
L-009	2	4
L-009	3	4
L-009	4	4
L-009	5	4
L-009	6	4
L-009	7	4
L-009	8	4
L-009	9	4
L-009	10	4
L-009	11	4
L-009	12	4
L-009	13	4
L-009	14	4
L-009	15	4
L-009	16	4
L-009	17	4
L-009	18	4
L-009	19	4
L-009	20	4
L-009	21	4
L-009	22	4
L-009	23	4
L-009	24	4
L-009	25	4
L-009	26	4
L-009	27	4
L-009	28	4
L-009	29	4
L-009	30	4
L-009	31	4
L-009	32	4
L-009	33	4
L-009	34	4
L-009	35	4
L-009	36	4
L-009	37	4
L-009	38	4
L-009	39	4
L-009	40	4
L-009	41	4
L-009	42	4
L-009	43	4
L-009	44	4
L-009	45	4
L-009	46	4
L-009	47	4
L-009	48	4
L-009	49	4
L-009	50	4
L-009	51	4
L-009	52	4
L-009	53	4
L-009	54	4
L-009	55	4
L-009	56	4
L-009	57	4
L-009	58	4
L-009	59	4
L-009	60	4
L-009	61	4
L-009	62	4
L-009	63	4
L-009	64	1
L-009	65	1
L-009	66	1
L-009	67	1
L-009	68	1
L-009	69	1
L-010	0	4
L-010	1	4
L-010	2	4
L-010	3	4
L-010	4	4
L-010	5	4
L-010	6	4
L-010	7	4
L-010	8	4
L-010	9	4
L-010	10	4
L-010	11	4
L-010	12	4
L-010	13	4
L-010	14	4
L-010	15	4
L-010	16	4
L-010	17	4
L-010	18	4
L-010	19	4
L-010	20	4
L-010	21	4
L-010	22	4
L-010	23	4
L-010	24	4
L-010	25	4
L-010	26	4
L-010	27	4
L-010	28	4
L-010	29	4
L-010	30	4
L-010	31	4
L-010	32	4
L-010	33	4
L-010	34	4
L-010	35	4
L-010	36	4
L-010	37	4
L-010	38	4
L-010	39	4
L-010	40	4
L-010	41	4
L-010	42	4
L-010	43	4
L-010	44	4
L-010	45	4
L-010	46	4
L-010	47	4
L-010	48	4
L-010	49	4
L-010	50	4
L-010	51	4
L-010	52	4
L-010	53	4
L-010	54	4
L-010	55	4
L-010	56	4
L-010	57	4
L-010	58	4
L-010	59	4
L-010	60	4
L-010	61	4
L-010	62	4
L-010	63	4
L-010	64	1
L-010	65	1
L-010	66	1
L-010	67	1
L-010	68	1
L-010	69	1
L-011	0	4
L-011	1	4
L-011	2	4
L-011	3	4
L-011	4	4
L-011	5	4
L-011	6	4
L-011	7	4
L-011	8	4
L-011	9	4
L-011	10	4
L-011	11	4
L-011	12	4
L-011	13	4
L-011	14	4
L-011	15	4
L-011	16	4
L-011	17	4
L-011	18	4
L-011	19	4
L-011	20	4
L-011	21	4
L-011	22	4
L-011	23	4
L-011	24	4
L-011	25	4
L-011	26	4
L-011	27	4
L-011	28	4
L-011	29	4
L-011	30	4
L-011	31	4
L-011	32	4
L-011	33	4
L-011	34	4
L-011	35	4
L-011	36	4
L-011	37	4
L-011	38	4
L-011	39	4
L-011	40	4
L-011	41	4
L-011	42	4
L-011	43	4
L-011	44	4
L-011	45	4
L-011	46	4
L-011	47	4
L-011	48	4
L-011	49	4
L-011	50	4
L-011	51	4
L-011	52	4
L-011	53	4
L-011	54	4
L-011	55	4
L-011	56	4
L-011	57	4
L-011	58	4
L-011	59	4
L-011	60	4
L-011	61	4
L-011	62	4
L-011	63	4
L-011	64	1
L-011	65	1
L-011	66	1
L-011	67	1
L-011	68	1
L-011	69	1
L-012	0	4
L-012	1	4
L-012	2	4
L-012	3	4
L-012	4	4
L-012	5	4
L-012	6	4
L-012	7	4
L-012	8	4
L-012	9	4
L-012	10	4
L-012	11	4
L-012	12	4
L-012	13	4
L-012	14	4
L-012	15	4
L-012	16	4
L-012	17	4
L-012	18	4
L-012	19	4
L-012	20	4
L-012	21	4
L-012	22	4
L-012	23	4
L-012	24	4
L-012	25	4
L-012	26	4
L-012	27	4
L-012	28	4
L-012	29	4
L-012	30	4
L-012	31	4
L-012	32	4
L-012	33	4
L-012	34	4
L-012	35	4
L-012	36	4
L-012	37	4
L-012	38	4
L-012	39	4
L-012	40	4
L-012	41	4
L-012	42	4
L-012	43	4
L-012	44	4
L-012	45	4
L-012	46	4
L-012	47	4
L-012	48	4
L-012	49	4
L-012	50	4
L-012	51	4
L-012	52	4
L-012	53	4
L-012	54	4
L-012	55	4
L-012	56	4
L-012	57	4
L-012	58	4
L-012	59	4
L-012	60	4
L-012	61	4
L-012	62	4
L-012	63	4
L-012	64	1
L-012	65	1
L-012	66	1
L-012	67	1
L-012	68	1
L-012	69	1
L-013	0	4
L-013	1	4
L-013	2	4
L-013	3	4
L-013	4	4
L-013	5	4
L-013	6	4
L-013	7	4
L-013	8	4
L-013	9	4
L-013	10	4
L-013	11	4
L-013	12	4
L-013	13	4
L-013	14	4
L-013	15	4
L-013	16	4
L-013	17	4
L-013	18	4
L-013	19	4
L-013	20	4
L-013	21	4
L-013	22	4
L-013	23	4
L-013	24	4
L-013	25	4
L-013	26	4
L-013	27	4
L-013	28	4
L-013	29	4
L-013	30	4
L-013	31	4
L-013	32	4
L-013	33	4
L-013	34	4
L-013	35	4
L-013	36	4
L-013	37	4
L-013	38	4
L-013	39	4
L-013	40	4
L-013	41	4
L-013	42	4
L-013	43	4
L-013	44	4
L-013	45	4
L-013	46	4
L-013	47	4
L-013	48	4
L-013	49	4
L-013	50	4
L-013	51	4
L-013	52	4
L-013	53	4
L-013	54	4
L-013	55	4
L-013	56	4
L-013	57	4
L-013	58	4
L-013	59	4
L-013	60	4
L-013	61	4
L-013	62	4
L-013	63	4
L-013	64	1
L-013	65	1
L-013	66	1
L-013	67	1
L-013	68	1
L-013	69	1
L-014	0	4
L-014	1	4
L-014	2	4
L-014	3	4
L-014	4	4
L-014	5	4
L-014	6	4
L-014	7	4
L-014	8	4
L-014	9	4
L-014	10	4
L-014	11	4
L-014	12	4
L-014	13	4
L-014	14	4
L-014	15	4
L-014	16	4
L-014	17	4
L-014	18	4
L-014	19	4
L-014	20	4
L-014	21	4
L-014	22	4
L-014	23	4
L-014	24	4
L-014	25	4
L-014	26	4
L-014	27	4
L-014	28	4
L-014	29	4
L-014	30	4
L-014	31	4
L-014	32	4
L-014	33	4
L-014	34	4
L-014	35	4
L-014	36	4
L-014	37	4
L-014	38	4
L-014	39	4
L-014	40	4
L-014	41	4
L-014	42	4
L-014	43	4
L-014	44	4
L-014	45	4
L-014	46	4
L-014	47	4
L-014	48	4
L-014	49	4
L-014	50	4
L-014	51	4
L-014	52	4
L-014	53	4
L-014	54	4
L-014	55	4
L-014	56	4
L-014	57	4
L-014	58	4
L-014	59	4
L-014	60	4
L-014	61	4
L-014	62	4
L-014	63	4
L-014	64	1
L-014	65	1
L-014	66	1
L-014	67	1
L-014	68	1
L-014	69	1
L-015	0	4
L-015	1	4
L-015	2	4
L-015	3	4
L-015	4	4
L-015	5	4
L-015	6	4
L-015	7	4
