epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	b	mcC	mcW	mcA
0	0	1434039	0	9	0	1112	0	0	0	19	234	18	0	-120	857	388	819
1	0	748688	0	9	0	1183	0	0	0	25	403	26	0	-336	832	360	794
2	1	4662260	29	27	0	1150	-9	0	-12	31	77	254	0	-1388	23	1	21
3	1	4811794	0	17	0	1382	-8	0	51	263	240	588	0	-2020	112	4	103
4	2	21162378	2	7	0	1667	6	0	47	448	1345	413	30	-1352	986	544	950
5	2	16206209	80	12	0	1610	-1	0	-42	282	1606	185	60	-1613	824	474	796
6	0	1304324	0	8	0	1838	-1	0	-39	384	1620	429	60	-1819	929	374	884
7	0	757566	0	9	0	1992	-1	0	-38	415	1702	563	60	-2190	867	205	813
8	1	5874073	28	28	0	1920	-17	0	-71	379	1418	782	60	-3334	54	5	50
9	1	5264569	0	19	0	2113	-17	0	-36	572	1575	1098	60	-4000	71	6	66
10	2	26273327	2	10	0	2431	1	0	-49	751	2864	879	90	-3317	906	384	864
11	2	19770910	79	13	0	2366	-8	0	-148	558	3216	638	120	-3707	660	299	630
12	0	5005002	0	8	0	2831	-8	0	-125	784	3256	1131	120	-3686	965	463	924
13	0	791367	0	9	0	2982	-8	0	-122	798	3264	1296	120	-4223	904	215	849
14	1	7519717	27	24	0	2880	-34	0	-158	739	2936	1523	120	-5544	136	12	126
15	1	5000000	0	15	0	3005	-34	0	-158	864	3061	1773	120	-6183	116	10	108
16	2	32760815	2	12	0	3338	-17	0	-187	1022	4530	1487	150	-5592	764	257	723
17	2	22906123	63	13	0	3281	-29	0	-287	820	5025	1237	180	-5978	644	257	612
18	0	9189190	0	8	0	3936	-29	0	-239	1136	5084	1933	180	-5791	969	486	930
19	0	976273	0	9	0	4099	-29	0	-233	1147	5096	2111	180	-6328	939	301	888
20	1	10919526	22	21	0	3897	-65	0	-284	1006	4562	2343	180	-7893	166	14	154
21	1	5000000	0	15	0	4022	-65	0	-284	1131	4687	2593	180	-8491	157	14	146
22	2	36185198	0	12	0	4419	-48	0	-289	1316	6253	2343	210	-7965	749	209	705
23	2	26444798	35	14	0	4372	-65	0	-388	1129	6860	2093	240	-8424	649	223	614
24	0	11434710	0	8	0	5139	-64	0	-318	1469	6930	2907	240	-8286	958	381	912
25	0	1644592	0	9	0	5359	-64	0	-308	1485	6945	3142	240	-8933	927	244	872
26	1	11904883	22	20	0	5132	-109	0	-360	1313	6368	3367	240	-10550	190	14	176
27	1	5000000	0	14	0	5257	-109	0	-360	1438	6493	3617	240	-11176	183	14	169
28	2	38908816	0	12	0	5704	-89	0	-361	1641	8181	3367	270	-10637	760	196	714
29	2	27938312	5	13	0	5682	-106	0	-455	1459	8874	3117	300	-11154	655	215	619
30	0	12782975	0	9	0	6524	-104	0	-366	1792	8953	4011	300	-11104	950	293	897
31	0	2568037	0	9	0	6798	-104	0	-358	1812	8974	4304	300	-11785	926	228	870
32	1	11971489	22	19	0	6542	-155	0	-408	1599	8345	4514	300	-13463	202	14	186
33	1	5000000	0	12	0	6667	-155	0	-408	1724	8470	4764	300	-14118	194	14	179
34	2	40915934	0	11	0	7157	-131	0	-408	1942	10261	4514	330	-13532	786	187	737
35	2	28499046	5	13	0	7156	-147	0	-502	1772	11016	4264	360	-14072	668	213	631
